RH_X,RH_Y,RH_X_Delta,RH_Y_Delta,LH_X,LH_Y,LH_X_Delta,LH_Y_Delta,RF_X,RF_Y,RF_X_Delta,RF_Y_Delta,LF_X,LF_Y,LF_X_Delta,LF_Y_Delta
710,1619,0,0,731,1647,,,849,1939,,,760,1909,,
710,1619,0,0,731,1647,0,0,830,1920,-19,-19,760,1909,0,0
710,1619,0,0,731,1647,0,0,709,1817,-121,-103,760,1909,0,0
710,1619,0,0,622,1633,-109,-14,709,1817,0,0,760,1909,0,0
710,1619,0,0,622,1633,0,0,709,1817,0,0,545,1752,-215,-157
710,1619,0,0,508,1581,-114,-52,709,1817,0,0,545,1752,0,0
653,1489,-57,-130,508,1581,0,0,709,1817,0,0,545,1752,0,0
653,1489,0,0,508,1581,0,0,712,1632,3,-185,545,1752,0,0
653,1489,0,0,443,1533,-65,-48,712,1632,0,0,545,1752,0,0
653,1489,0,0,443,1533,0,0,581,1603,-131,-29,545,1752,0,0
653,1489,0,0,443,1533,0,0,525,1606,-56,3,545,1752,0,0
653,1489,0,0,443,1533,0,0,525,1606,0,0,414,1676,-131,-76
427,1456,-226,-33,443,1533,0,0,525,1606,0,0,414,1676,0,0
427,1456,0,0,443,1533,0,0,525,1606,0,0,430,1623,16,-53
427,1456,0,0,457,1358,14,-175,525,1606,0,0,430,1623,0,0
609,1388,182,-68,457,1358,0,0,539,1568,14,-38,430,1623,0,0
609,1388,0,0,457,1358,0,0,539,1568,0,0,391,1488,-39,-135
576,1268,-33,-120,457,1358,0,0,539,1568,0,0,391,1488,0,0
576,1268,0,0,495,1269,38,-89,539,1568,0,0,391,1488,0,0
576,1268,0,0,495,1269,0,0,539,1568,0,0,506,1458,115,-30
576,1268,0,0,495,1269,0,0,611,1391,72,-177,506,1458,0,0
576,1268,0,0,551,1198,56,-71,611,1391,0,0,506,1458,0,0
594,1187,18,-81,551,1198,0,0,611,1391,0,0,474,1442,-32,-16
594,1187,0,0,551,1198,0,0,611,1391,0,0,501,1282,27,-160
594,1187,0,0,521,1151,-30,-47,611,1391,0,0,501,1282,0,0
594,1187,0,0,540,1058,19,-93,-,-,,,501,1282,0,0
594,1187,0,0,540,1058,0,0,600,1292,,,501,1282,0,0
594,1187,0,0,540,1058,0,0,600,1292,0,0,501,1282,0,0
560,1025,-34,-162,523,1074,-17,16,585,1292,-15,0,540,1282,39,0
560,1025,0,0,523,1074,0,0,617,1260,32,-32,540,1282,0,0
560,1025,0,0,523,1074,0,0,617,1260,0,0,560,1238,20,-44
560,1025,0,0,479,973,-44,-101,617,1260,0,0,560,1238,0,0
560,1025,0,0,449,989,-30,16,534,1207,-83,-53,560,1238,0,0
560,1025,0,0,449,989,0,0,534,1207,0,0,,,,
520,1025,-40,0,449,989,0,0,534,1207,0,0,515,1226,,
520,1025,0,0,449,989,0,0,535,1151,1,-56,515,1226,0,0
520,1025,0,0,449,989,0,0,535,1151,0,0,358,1162,-157,-64
520,1025,0,0,449,989,0,0,508,1080,-27,-71,358,1162,0,0
463,960,-57,-65,430,940,-19,-49,497,1072,-11,-8,358,1162,0,0
463,960,0,0,430,940,0,0,497,1072,0,0,367,988,9,-174
463,960,0,0,342,850,-88,-90,497,1072,0,0,367,988,0,0
463,960,0,0,342,850,0,0,366,980,-131,-92,348,980,-19,-8
463,960,0,0,342,850,0,0,366,980,0,0,249,1003,-99,23
397,802,-66,-158,360,765,18,-85,313,928,-53,-52,318,973,69,-30
397,802,0,0,360,765,0,0,313,928,0,0,253,807,-65,-166
397,802,0,0,360,765,0,0,369,846,56,-82,253,807,0,0
364,720,-33,-82,360,765,0,0,369,846,0,0,253,807,0,0
364,720,0,0,273,684,-87,-81,369,846,0,0,253,807,0,0
364,720,0,0,287,670,14,-14,369,846,0,0,234,719,-19,-88
364,720,0,0,287,670,0,0,375,784,6,-62,234,719,0,0
325,615,-39,-105,287,670,0,0,375,784,0,0,234,719,0,0
325,615,0,0,325,615,38,-55,342,735,-33,-49,234,719,0,0
325,615,0,0,325,615,0,0,342,735,0,0,234,719,0,0
325,615,0,0,222,687,-103,72,342,735,0,0,312,670,78,-49
325,615,0,0,222,687,0,0,404,638,62,-97,312,670,0,0
325,615,0,0,356,569,134,-118,404,638,0,0,312,670,0,0
440,596,115,-19,356,569,0,0,404,638,0,0,312,670,0,0
440,596,0,0,356,569,0,0,404,638,0,0,321,651,9,-19
440,596,0,0,356,569,0,0,404,638,0,0,420,624,99,-27
440,596,0,0,356,569,0,0,488,624,84,-14,420,624,0,0
440,596,0,0,427,584,71,15,488,624,0,0,456,617,36,-7
482,574,42,-22,427,584,0,0,488,624,0,0,447,596,-9,-21
482,574,0,0,394,563,-33,-21,500,616,12,-8,447,596,0,0
482,574,0,0,394,563,0,0,464,606,-36,-10,424,596,-23,0
482,574,0,0,394,563,0,0,464,606,0,0,424,596,0,0
379,493,-103,-81,397,521,3,-42,397,579,-67,-27,375,579,-49,-17
379,493,0,0,397,521,0,0,397,579,0,0,356,546,-19,-33
379,493,0,0,377,457,-20,-64,412,535,15,-44,356,546,0,0
379,493,0,0,377,457,0,0,412,535,0,0,345,515,-11,-31
412,448,33,-45,377,457,0,0,412,535,0,0,345,515,0,0
382,463,-30,15,315,424,-62,-33,412,535,0,0,345,515,0,0
382,463,0,0,315,424,0,0,345,484,-67,-51,345,515,0,0
382,463,0,0,315,424,0,0,345,484,0,0,282,504,-63,-11
335,409,-47,-54,315,424,0,0,345,484,0,0,282,504,0,0
335,409,0,0,288,428,-27,4,345,484,0,0,282,504,0,0
335,409,0,0,288,406,0,-22,345,484,0,0,282,504,0,0
335,409,0,0,288,406,0,0,345,484,0,0,298,458,16,-46
350,400,15,-9,288,406,0,0,329,418,-16,-66,298,458,0,0
385,406,35,6,288,406,0,0,329,418,0,0,286,416,-12,-42
400,397,15,-9,391,400,103,-6,367,406,38,-12,348,406,62,-10
425,373,25,-24,391,400,0,0,367,406,0,0,348,406,0,0
425,373,0,0,330,338,-61,-62,367,406,0,0,348,406,0,0
372,362,-53,-11,304,338,-26,0,367,406,0,0,287,401,-61,-5
332,346,-40,-16,274,312,-30,-26,344,408,-23,2,287,401,0,0
332,346,0,0,274,312,0,0,293,400,-51,-8,287,401,0,0
332,346,0,0,274,312,0,0,293,400,0,0,238,390,-49,-11
248,312,-84,-34,248,312,-26,0,287,389,-6,-11,238,390,0,0
248,312,0,0,210,308,-38,-4,287,389,0,0,238,390,0,0
248,312,0,0,210,308,0,0,225,395,-62,6,130,340,-108,-50
248,312,0,0,190,290,-20,-18,251,389,26,-6,130,340,0,0
248,312,0,0,190,290,0,0,230,367,-21,-22,130,340,0,0
248,312,0,0,190,290,0,0,230,319,0,-48,130,340,0,0
213,280,-35,-32,190,290,0,0,230,319,0,0,130,340,0,0
213,280,0,0,190,290,0,0,213,300,-17,-19,130,340,0,0
213,280,0,0,190,290,0,0,213,300,0,0,125,295,-5,-45
193,251,-20,-29,182,251,-8,-39,213,300,0,0,125,295,0,0
193,231,0,-20,182,251,0,0,165,281,-48,-19,125,295,0,0
193,231,0,0,182,251,0,0,165,281,0,0,144,281,19,-14
230,230,37,-1,182,251,0,0,165,281,0,0,144,281,0,0
230,230,0,0,182,251,0,0,165,281,0,0,180,270,36,-11
230,230,0,0,182,251,0,0,200,247,35,-34,180,270,0,0
250,215,20,-15,200,230,18,-21,200,247,0,0,180,270,0,0
250,215,0,0,200,230,0,0,220,230,20,-17,200,240,20,-30
250,215,0,0,250,190,50,-40,220,230,0,0,200,240,0,0
290,190,40,-25,250,190,0,0,265,220,45,-10,225,220,25,-20
290,190,0,0,250,190,0,0,265,220,0,0,225,220,0,0
272,190,-18,0,250,190,0,0,265,216,0,-4,225,220,0,0
284,177,12,-13,250,190,0,0,265,216,0,0,225,220,0,0
291,150,7,-27,250,190,0,0,265,216,0,0,225,220,0,0
291,150,0,0,250,190,0,0,265,216,0,0,260,200,35,-20
300,180,9,30,250,190,0,0,265,216,0,0,260,200,0,0
300,180,0,0,260,164,10,-26,280,203,15,-13,260,200,0,0
300,180,0,0,260,164,0,0,280,203,0,0,260,200,0,0
310,170,10,-10,260,164,0,0,311,180,31,-23,260,200,0,0
330,160,20,-10,320,160,60,-4,311,180,0,0,290,180,30,-20
330,160,0,0,302,146,-18,-14,311,180,0,0,300,180,10,0
318,142,-12,-18,332,161,30,15,311,180,0,0,278,177,-22,-3
318,142,0,0,332,161,0,0,304,170,-7,-10,278,177,0,0
318,142,0,0,291,146,-41,-15,304,170,0,0,278,177,0,0
302,150,-16,8,291,146,0,0,304,170,0,0,278,177,0,0
